#      MET_(days)     MET_(hours)  Alt_J2_(km)  Alt_mer(km)  Perigee_(km)   Apogee_(km)  Latitude  Longitude  Eccentricity   TrueAnomly  Atm_Drag_(N)
      0.116319444       2.7916667     277.8669     280.6711      149.9128      597.1168 -26.24905  153.38324   0.033152182  292.7927514    2.2734e-03
      0.116898148       2.8055556     266.0484     269.0683      149.9121      597.1150 -25.50969  156.81493   0.033152104  296.1535551    3.0278e-03
      0.117476852       2.8194444     254.5387     257.7956      149.9113      597.1126 -24.67843  160.21222   0.033151989  299.5258808    4.0309e-03
      0.118055556       2.8333333     243.3810     246.8934      149.9104      597.1092 -23.75889  163.57171   0.033151821  302.9094097    5.3578e-03
      0.118634259       2.8472222     232.6181     236.4008      149.9093      597.1046 -22.75505  166.89081   0.033151577  306.3037735    7.1024e-03
      0.119212963       2.8611111     222.2919     226.3562      149.9080      597.0984 -21.67121  170.16784   0.033151230  309.7085548    9.3805e-03
      0.119791667       2.8750000     212.4432     216.7963      149.9065      597.0900 -20.51193  173.40188   0.033150741  313.1232880    1.2334e-02
      0.120370370       2.8888889     203.1115     207.7565      149.9047      597.0786 -19.28201  176.59284   0.033150061  316.5474615    1.6134e-02
      0.120949074       2.9027778     194.3347     199.2707      149.9028      597.0635 -17.98638  179.74132   0.033149125  319.9805204    2.0985e-02
      0.121527778       2.9166667     186.1491     191.3707      149.9007      597.0435 -16.63012 -177.15142   0.033147855  323.4218706    2.7128e-02
