#      MET_(days)     MET_(hours)  Alt_J2_(km)  Alt_mer(km)  Perigee_(km)   Apogee_(km)  Latitude  Longitude  Eccentricity   TrueAnomly  Atm_Drag_(N)        Tn_(K)     F10.7_curr
      0.041666667       1.0000000     510.0950     508.8843      150.0000      600.0000 -38.28877  103.25578   0.033352109  231.9633658    0.0000e+00        0.0000        116.000
      0.042013889       1.0083333     504.3730     502.7465      150.0000      600.0000 -39.43103  105.05100   0.033352109  233.8470115    0.0000e+00        0.0000        116.000
      0.042361111       1.0166667     498.4937     496.4594      150.0000      600.0000 -40.54239  106.91247   0.033352109  235.7340653    0.0000e+00        0.0000        116.000
      0.042708333       1.0250000     492.4619     490.0295      150.0000      600.0000 -41.62030  108.84325   0.033352109  237.6246171    0.0000e+00        0.0000        116.000
      0.043055556       1.0333333     486.2824     483.4634      150.0000      600.0000 -42.66205  110.84628   0.033352109  239.5187535    0.0000e+00        0.0000        116.000
      0.043402778       1.0416667     479.9604     476.7683      150.0000      600.0000 -43.66477  112.92421   0.033352109  241.4165582    0.0000e+00        0.0000        116.000
      0.043750000       1.0500000     473.5014     469.9510      150.0000      600.0000 -44.62540  115.07939   0.033352109  243.3181118    0.0000e+00        0.0000        116.000
      0.044097222       1.0583333     466.9110     463.0190      150.0000      600.0000 -45.54075  117.31371   0.033352109  245.2234913    0.0000e+00        0.0000        116.000
      0.044444444       1.0666667     460.1950     455.9796      150.0000      600.0000 -46.40751  119.62851   0.033352109  247.1327704    0.0000e+00        0.0000        116.000
      0.044791667       1.0750000     453.3595     448.8405      150.0000      600.0000 -47.22222  122.02444   0.033352109  249.0460191    0.0000e+00        0.0000        116.000
      0.045138889       1.0833333     446.4108     441.6095      150.0000      600.0000 -47.98134  124.50135   0.033352109  250.9633037    0.0000e+00        0.0000        116.000
      0.045486111       1.0916667     439.3553     434.2943      150.0000      600.0000 -48.68131  127.05812   0.033352109  252.8846868    0.0000e+00        0.0000        116.000
      0.045833333       1.1000000     432.1999     426.9032      150.0000      600.0000 -49.31854  129.69256   0.033352109  254.8102268    0.0000e+00        0.0000        116.000
      0.046180556       1.1083333     424.9515     419.4442      150.0000      600.0000 -49.88949  132.40132   0.033352109  256.7399780    0.0000e+00        0.0000        116.000
      0.046527778       1.1166667     417.6173     411.9257      150.0000      600.0000 -50.39075  135.17977   0.033352109  258.6739906    0.0000e+00        0.0000        116.000
      0.046875000       1.1250000     410.2048     404.3561      150.0000      600.0000 -50.81909  138.02196   0.033352109  260.6123104    0.0000e+00        0.0000        116.000
      0.047222222       1.1333333     402.7216     396.7441      150.0000      600.0000 -51.17152  140.92065   0.033352109  262.5549785    0.0000e+00        0.0000        116.000
      0.047569444       1.1416667     395.1756     389.0982      150.0000      600.0000 -51.44539  143.86737   0.033352109  264.5020316    0.0000e+00        0.0000        116.000
      0.047916667       1.1500000     387.5749     381.4272      150.0000      600.0000 -51.63844  146.85251   0.033352109  266.4535016    0.0000e+00        0.0000        116.000
      0.048263889       1.1583333     379.9278     373.7400      150.0000      600.0000 -51.74887  149.86553   0.033352109  268.4094156    0.0000e+00        0.0000        116.000
      0.048611111       1.1666667     372.2429     366.0455      150.0000      600.0000 -51.77537  152.89519   0.033352109  270.3697954    0.0000e+00        0.0000        116.000
      0.048958333       1.1750000     364.5290     358.3527      150.0000      600.0000 -51.71720  155.92983   0.033352109  272.3346582    0.0000e+00        0.0000        116.000
      0.049305556       1.1833333     356.7949     350.6707      150.0000      600.0000 -51.57416  158.95769   0.033352109  274.3040156    0.0000e+00        0.0000        116.000
      0.049652778       1.1916667     349.0498     343.0086      150.0000      600.0000 -51.34664  161.96722   0.033352109  276.2778741    0.0000e+00        0.0000        116.000
      0.050000000       1.2000000     341.3030     335.3755      150.0000      600.0000 -51.03556  164.94736   0.033352109  278.2562346    0.0000e+00        0.0000        116.000
      0.050347222       1.2083333     333.5641     327.7806      150.0000      600.0000 -50.64235  167.88784   0.033352109  280.2390928    0.0000e+00        0.0000        116.000
      0.050694444       1.2166667     325.8427     320.2330      150.0000      600.0000 -50.16892  170.77940   0.033352109  282.2264386    0.0000e+00        0.0000        116.000
      0.051041667       1.2250000     318.1487     312.7421      150.0000      600.0000 -49.61758  173.61394   0.033352109  284.2182563    0.0000e+00        0.0000        116.000
      0.051388889       1.2333333     310.4920     305.3170      150.0000      600.0000 -48.99097  176.38463   0.033352109  286.2145243    0.0000e+00        0.0000        116.000
      0.051736111       1.2416667     302.8827     297.9668      150.0000      600.0000 -48.29201  179.08595   0.033352109  288.2152155    0.0000e+00        0.0000        116.000
      0.052083333       1.2500000     295.3311     290.7006      150.0000      600.0000 -47.52384 -178.28631   0.033352109  290.2202967    0.0000e+00        0.0000        116.000
      0.052430556       1.2583333     287.8474     283.5277      150.0000      600.0000 -46.68970 -175.73511   0.033352109  292.2297289    0.0000e+00        0.0000        116.000
      0.052777778       1.2666667     280.4422     276.4570      150.0000      600.0000 -45.79293 -173.26227   0.033352109  294.2434671    0.0000e+00        0.0000        116.000
      0.053125000       1.2750000     273.1257     269.4974      150.0000      600.0000 -44.83691 -170.86855   0.033352109  296.2614603    0.0000e+00        0.0000        116.000
      0.053472222       1.2833333     265.9087     262.6578      150.0000      600.0000 -43.82496 -168.55380   0.033352109  298.2836516    0.0000e+00        0.0000        116.000
      0.053819444       1.2916667     258.8015     255.9471      150.0000      600.0000 -42.76038 -166.31712   0.033352109  300.3099780    0.0000e+00        0.0000        116.000
      0.054166667       1.3000000     251.8148     249.3739      150.0000      600.0000 -41.64636 -164.15691   0.033352109  302.3403706    0.0000e+00        0.0000        116.000
      0.054513889       1.3083333     244.9590     242.9467      150.0000      600.0000 -40.48601 -162.07108   0.033352109  304.3747546    0.0000e+00        0.0000        116.000
      0.054861111       1.3166667     238.2447     236.6738      150.0000      600.0000 -39.28230 -160.05713   0.033352109  306.4130489    0.0000e+00        0.0000        116.000
      0.055208333       1.3250000     231.6822     230.5637      150.0000      600.0000 -38.03806 -158.11222   0.033352109  308.4551670    0.0000e+00        0.0000        116.000
      0.055555556       1.3333333     225.2820     224.6242      150.0000      600.0000 -36.75601 -156.23330   0.033352109  310.5010161    0.0000e+00        0.0000        116.000
